ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,T2MDEW,TS,WS10M,PRECTOTCORR,RH2M,SoilMoistureIndex,Date
4.14,0.41,411.3,15.9,30.43,1.77,3.73,50.69,0.012442541833881746,2013-08-18
6.12,0.6,402.12,15.04,29.19,1.98,2.42,49.69,0.00841643658097809,2013-08-19
6.82,0.67,389.64,14.67,29.19,3.75,0.02,51.88,6.958601942451338e-05,2013-08-20
5.64,0.55,384.09,13.49,26.9,4.86,0.19,52.81,0.0007177512054612241,2013-08-21
6.3,0.62,387.41,13.48,26.48,4.19,0.37,55.19,0.0014198220965474728,2013-08-22
6.99,0.7,381.23,14.48,28.56,3.02,0.03,56.69,0.0001067200417684208,2013-08-23
6.58,0.66,399.26,13.47,29.65,3.14,0.87,47.81,0.002984342719024882,2013-08-24
6.7,0.67,400.63,10.59,31.61,3.56,0.0,32.25,0.0,2013-08-25
4.96,0.5,417.64,13.09,30.85,4.48,0.04,44.31,0.00013206533362553017,2013-08-26
5.1,0.52,426.96,11.73,31.85,4.07,1.14,33.38,0.0036441754277724615,2013-08-27
5.74,0.59,407.62,13.38,31.72,3.93,1.81,41.06,0.005801827368101024,2013-08-28
5.67,0.59,416.43,16.55,30.48,3.77,0.01,54.12,3.33359476141854e-05,2013-08-29
5.26,0.55,418.55,13.08,31.15,4.57,0.06,42.5,0.00019595650403370443,2013-08-30
4.44,0.46,403.82,16.5,26.98,5.99,7.6,60.5,0.028635269605594683,2013-08-31
4.89,0.51,388.05,16.67,25.61,7.52,1.9,66.69,0.007539439430219939,2013-09-01
4.01,0.42,392.93,16.12,24.76,8.05,0.59,66.25,0.0024189449082351673,2013-09-02
4.5,0.48,388.0,17.96,23.07,6.95,11.73,78.94,0.05155648315578664,2013-09-03
6.05,0.64,388.27,17.26,24.32,2.95,3.61,72.62,0.015054482214560173,2013-09-04
6.17,0.66,383.61,15.02,26.87,2.28,1.43,58.25,0.005409170768049361,2013-09-05
6.25,0.67,388.63,13.25,27.94,4.45,1.1,45.62,0.004005693541124408,2013-09-06
6.02,0.65,392.84,18.09,28.84,3.11,0.35,65.19,0.0012325974945114288,2013-09-07
6.03,0.66,392.49,19.29,28.37,2.95,0.16,68.94,0.0005718355996986755,2013-09-08
5.64,0.62,392.8,16.54,28.1,2.46,0.84,60.38,0.0030300486705451463,2013-09-09
5.49,0.6,395.09,16.85,26.06,3.61,0.06,65.69,0.0002334825156316683,2013-09-10
5.81,0.64,394.97,16.3,28.05,2.34,0.08,61.25,0.0002895967220283402,2013-09-11
4.11,0.45,403.41,17.19,26.6,3.21,0.49,67.19,0.0018698926457140898,2013-09-12
5.0,0.56,388.34,15.29,25.12,3.31,0.57,64.81,0.0022993126978186613,2013-09-13
5.32,0.6,391.43,16.15,26.08,2.88,0.01,63.25,3.886592884636952e-05,2013-09-14
5.01,0.57,400.62,13.25,27.87,4.57,0.02,50.06,7.292318632336949e-05,2013-09-15
5.39,0.62,397.69,8.22,29.17,3.66,0.05,32.06,0.00017451687833353318,2013-09-16
5.01,0.58,395.3,16.43,27.07,2.56,0.57,62.56,0.002143608382666401,2013-09-17
4.61,0.53,386.73,15.56,27.15,2.07,1.59,58.19,0.0059585244696814125,2013-09-18
1.95,0.23,390.88,17.18,23.27,2.74,20.7,74.62,0.09054048343972801,2013-09-19
4.36,0.51,366.98,12.83,24.15,2.69,0.34,58.62,0.0014304317199800153,2013-09-20
5.9,0.7,352.34,11.44,23.25,3.65,0.0,57.75,0.0,2013-09-21
5.13,0.61,367.65,13.33,22.58,4.54,0.21,65.69,0.0009423579065298538,2013-09-22
5.93,0.71,354.53,12.82,23.15,2.38,0.02,64.94,8.75835572245546e-05,2013-09-23
5.7,0.69,366.35,11.71,23.3,2.77,0.0,55.12,0.0,2013-09-24
5.36,0.65,375.98,10.41,24.1,3.66,0.05,48.88,0.00021070704429476615,2013-09-25
5.64,0.69,380.6,9.89,25.7,2.7,0.0,41.81,0.0,2013-09-26
5.56,0.68,378.35,11.65,26.43,2.38,0.0,49.31,0.0,2013-09-27
5.54,0.69,370.96,12.87,25.61,3.38,0.0,55.56,0.0,2013-09-28
4.53,0.56,386.8,12.44,26.58,3.23,0.03,48.5,0.00011502061483501343,2013-09-29
5.49,0.69,376.09,13.21,26.47,2.94,0.0,52.38,0.0,2013-09-30
4.74,0.6,389.95,14.44,26.15,2.7,0.05,54.06,0.00019461089862854314,2013-10-01
5.53,0.7,390.91,14.77,27.87,1.81,0.0,54.38,0.0,2013-10-02
4.56,0.59,390.8,17.8,25.83,3.21,2.56,69.0,0.010061495642596398,2013-10-03
5.03,0.66,385.57,18.69,26.46,3.19,1.28,72.62,0.004903897606412059,2013-10-04
4.31,0.56,400.45,17.9,27.05,2.55,0.39,68.88,0.0014617167912647237,2013-10-05
3.79,0.5,395.12,16.85,25.77,2.48,2.61,68.56,0.010278186027663965,2013-10-06
2.78,0.37,373.08,14.21,19.08,3.33,3.62,77.94,0.019238139410238726,2013-10-07
3.46,0.46,376.68,14.31,19.43,2.73,0.66,77.19,0.003443615982588702,2013-10-08
4.68,0.63,367.0,14.65,21.62,3.02,0.48,73.69,0.0022519171857546144,2013-10-09
3.0,0.41,386.71,14.49,22.63,3.25,0.31,67.12,0.0013920337005700737,2013-10-10
4.02,0.55,381.53,10.48,24.01,5.62,0.03,45.5,0.00012702264879668542,2013-10-11
4.0,0.55,381.49,4.46,24.05,4.98,0.0,29.56,0.0,2013-10-12
3.96,0.55,379.64,3.8,24.02,4.05,0.0,27.31,0.0,2013-10-13
4.3,0.61,369.06,2.48,23.9,4.07,0.0,26.0,0.0,2013-10-14
3.59,0.51,376.2,3.25,23.44,5.08,0.0,26.75,0.0,2013-10-15
4.52,0.65,370.48,9.64,25.02,4.62,0.0,41.75,0.0,2013-10-16
5.0,0.73,350.79,12.21,23.59,4.15,0.0,55.06,0.0,2013-10-17
4.84,0.71,352.59,11.28,22.73,3.2,0.0,51.81,0.0,2013-10-18
4.24,0.62,366.8,8.17,24.1,3.45,0.0,39.06,0.0,2013-10-19
4.47,0.66,361.62,12.92,23.6,2.88,0.0,56.62,0.0,2013-10-20
4.4,0.66,357.88,14.49,21.96,2.3,0.0,72.31,0.0,2013-10-21
4.53,0.69,345.09,11.9,20.61,2.67,0.0,66.38,0.0,2013-10-22
4.59,0.7,342.55,6.92,20.76,3.87,0.0,48.31,0.0,2013-10-23
3.85,0.59,361.58,6.64,22.52,2.62,0.0,39.88,0.0,2013-10-24
4.45,0.7,347.59,1.57,21.94,3.55,0.0,28.44,0.0,2013-10-25
4.05,0.63,350.34,9.61,20.59,3.26,0.0,57.0,0.0,2013-10-26
